품명			단가(원)		평균시세(원)		단가-평균시세(원)
-----------------------------------------------------------------
강력 20kg                   27,800    44,217   -16,417
영양중력분 20kg                25,000    45,408   -20,408
박력 20kg                   26,500    35,695    -9,195
설탕 15kg                   20,200    33,531   -13,331
꽃소금 3kg                    4,800     9,540    -4,740
물엿 10kg                   19,100    21,398    -2,298
에멘탈치즈가는쉬레드 750g           23,400    22,503      +897
에멘탈크림치즈 1kg               18,700    18,245      +455
피자치즈 2.5kg                30,600    29,139    +1,461
냉동레드체다치즈 2.5kg            32,200    44,454   -12,254
코코아분말 1kg                 28,300    25,397    +2,903
코코아22분말 1kg               11,700    21,200    -9,500
아몬드분말 벌크 11.34kg          93,500   110,256   -16,756
통호두반태 1kg                  9,900   262,762  -252,862
건포도벌크 10kg                68,000    63,887    +4,113
건조크랜베리클래식 11.34kg        122,000    44,783   +77,217
코코넛롱 400g                  3,700     7,047    -3,347
코코넛분말 400g                 4,100    10,802    -6,702
황설탕 1kg                    2,300     9,623    -7,323
흑설탕 1kg                    2,200     5,752    -3,552
초미립분당 700g                 2,600     5,524    -2,924
하이슈가코트 10kg               33,100    36,888    -3,788
몰트엑기스액상                    6,300    12,972    -6,672
조커에이                       5,300   194,478  -189,178
몽블랑생지                    107,520    43,958   +63,562
타르트외피                     76,800    34,900   +41,900
오텐틱듀럼 1kg                 18,800    23,329    -4,529
레몬쥬스 946ml                 5,500    26,762   -21,262
반건조무화과 2kg                23,500    26,331    -2,831
필라델피아크림치즈 1.36kg          23,200    46,032   -22,832
끼리크림치즈 1kg                20,000    50,631   -30,631
카야쨈브라운 2.5kg              28,800    68,286   -39,486
파에테포요틴 2.5kg              55,000    53,729    +1,271
생이스트 500g                  2,300     5,644    -3,344
샤프드라이이스트 500g              5,000    10,181    -5,181
델리밀 1kg                    5,000    13,612    -8,612
S-아몬드벌크 11.34kg          109,600   111,575    -1,975
S-백아몬드                    12,000    27,286   -15,286
콩고물 1kg                    7,200    15,724    -8,524
트레디션T65 25kg              52,600    68,630   -16,030
파인소프트T 10kg               45,400    41,212    +4,188
파인소프트C 2kg                33,100    29,677    +3,423
파인소프트202 2kg              14,200    27,642   -13,442
트레할로스 20kg               130,300   144,786   -14,486
검은깨 1kg                   11,000    20,316    -9,316
참깨 1kg                     8,000    13,475    -5,475
왁시콘 5kg                   14,800    16,984    -2,184
베이킹파우더포뮬러 300g             1,750    40,639   -38,889
베이킹소다 1kg                  2,700     7,616    -4,916
통팥앙금55H 5kg               17,400    26,307    -8,907
팥빙수55M 5kg                18,400    40,861   -22,461
베이컨스타일칩 500g              12,800    21,424    -8,624
로스트가슴살치킨 1kg              16,500    23,236    -6,736
숯불구이맛소시지 1kg               8,250    18,864   -10,614
아몬드프라린 5kg               142,400    91,675   +50,725
슈퍼코트 1.25kg               14,900    17,154    -2,254
오렌지스틱 1kg                 52,300    38,195   +14,105
스위스밸리크림치즈 13.6kg         125,000    24,066  +100,934
백옥앙금55M 5kg               16,300    20,200    -3,900
잡화청 2.4kg                  7,800    25,592   -17,792
체스트넛스프레드 1kg              16,800    34,906   -18,106
조은밤홀 2kg                  21,000    12,385    +8,615
다이스밤 7L                   57,000    33,384   +23,616
S-블랙올리브 3kg                9,500    22,390   -12,890
올리브유엑스트라버진 5L             52,500    83,321   -30,821
통아몬드 1kg                   9,900    18,175    -8,275
통헤즐넛 1kg                  14,600    24,488    -9,888
